imicrobe,mixs_term,alternate_name,category,mixs_package,camera,bco_dmo_short_name,hot_name
site_depth,,,location,,SITE_DEPTH,,
site_description,,,location,,SITE_DESCRIPTION,,
site_name,,,location,,SITE_NAME,,
water_depth,,,location,,water depth,,
water_depth_m,water_depth,,location,water,water depth  (m),,
wave_height_m,wave_height,,location,water,water depth  (M),,
additional_citations,,,misc,,,,
annotations_file,,SKIP,misc,,,,
assembly_accession_number,,,misc,,,,
combined_assembly_name,,,misc,,,,
comment,,comments,misc,,Comment,,
comments,,,misc,,COMMENTS,,
contigs_file,,SKIP,misc,,,,
cruise_name,,,misc,,,cruise_name,
cruiseid,,,misc,,,cruiseid,cruise_id
description,,,misc,,DESCRIPTION,,
doc,,SKIP,misc,,,,
gene_name,,,misc,,gene name,,
investigation_type,,,misc,,,,
isolation_method,,,misc,,,,
list_of_amino_acids_and_concentrations_with_units,,SKIP,misc,,,,
mmetsp_id,,SKIP,misc,,,,
num_of_reads,,,misc,,NUM_OF_READS,,
number_of_samples_pooled,move to project?,,misc,,number of samples pooled,,
pcr_amp,,,misc,,,,
peptides_file,,SKIP,misc,,,,
phage_type,,,misc,,phage type,,
pi,,SKIP,misc,,,,
primary_citation,,,misc,,,,
principle_investigator,,,misc,,,,
project_id,,,misc,,,,
quality_code,,,misc,,,q_code,
reads_file,,SKIP,misc,,,,
rrna_16s,,SKIP,misc,,,,
rrna_18s,,SKIP,misc,,,,
sequencing_chemistry,,,misc,,,sequencing_chemistry,
sequencing_method,,,misc,,SEQUENCING_METHOD,,
template_preparation_method,temperature,,misc,multi,Template preparation method,,
collection_date,,,process,,,,
collection_start_time,,,process,,COLLECTION_START_TIME,,
collection_stop_time,,,process,,COLLECTION_STOP_TIME,,
collection_time,,,process,,,,
date_of_experiment,,,process,,,date,
filter_fraction_maximum,,,process,,,,
filter_fraction_minimum,,,process,,,,
filter_max,,,process,,FILTER_MAX,,
filter_min,,,process,,FILTER_MIN,,
filter_type,filter type,,process,built environment,Filter Type,,
filter_type,filter type,,process,built environment,Filter Type  (null),,
filter_type_m,filter type,,process,built environment,Filter Type  (M),,
isolation,isolation and growth condition,,process,core,Isolation,,
library_acc,,,process,,LIBRARY_ACC,,
method_of_isolation,isolation and growth condition,,process,core,method of isolation,,
number_of_stations_sampled,move to project,,process,,number of stations sampled,,
time_hour,???,,process,,Time  (hour),,
volume_filtered,,,process,,,,
abundance_bacterial_cells_ml,organism count,,specimen,multi,abundance/bacterial  (cells/ml),,
abundance_bacterial_cells_ml_h,organism count,,specimen,multi,abundance/bacterial  (cells/ml/h),,
abundance_synechococcus_cells_ml,organism count,,specimen,multi,abundance/synechococcus  (cells/ml),,
axenic,,,specimen,,,,
bacterial_production_cells_ml_h,bacterial production,,specimen,water,bacterial production  (cells/ml/h),,
biofilm_g,biomass,,specimen,multi,biofilm  (g),,
biomass_concentration_ug_kg,biomass,,specimen,multi,biomass/concentration  (ug/kg),,
biomass_mass_g,biomass,,specimen,multi,biomass/mass  (g),,
biomaterial_name,source_mat_id,,specimen,,BIOMATERIAL_NAME,,
charge__mmol,,charge,specimen,,Charge()  (mMol),,
charge_mmol,,charge,specimen,,Charge(+)  (mMol),,
clonal,,,specimen,,,,
dna_type,,,specimen,,DNA_TYPE,,
external_sample_id,,,specimen,,,,
fluorescence_ug_l,,fluorescence,specimen,,,,
fluorinef_um,fluorescence,,specimen,water,fluorescence  (ug/L),,
genbank_acc,,,specimen,,,,
material_acc,source_mat_id,,specimen,,MATERIAL_ACC,,
material_id,,source_mat_id,specimen,,MATERIAL_ID,,
organism_count,organism count,,specimen,multi,,,
sample_acc,source_mat_id,,specimen,core,SAMPLE_ACC,,
sample_description,,,specimen,,SAMPLE_DESCRIPTION,,
sample_id,,,specimen,,,sample,
sample_material,,,specimen,,,,
sample_name,,,specimen,,SAMPLE_NAME,,
sample_type,,,specimen,,Sample Type,,
sample_volume,,,specimen,,SAMPLE_VOLUME,,
taxon_id,,,specimen,,TAXON_ID,,
turbidity_ntu,,turbidity,specimen,,Turbidity  (ntu),,
turbidity_umol_kg,none,turbidity,specimen,none,Turbidity  (umol/kg),,
viral_abundance_viruses_ml,,viral_abundance_viruses,specimen,,viral abundance  (viruses/ml),,
viral_production_viruses_ml_h,organism count,viral_production_viruses,specimen,multi,viral production  (viruses/ml/h),,
volume_filtered_l,,volume,specimen,multi,volume filtered  (L),,
volume_l,,volume,specimen,,volume  (L),,
volume_unit,,,specimen,,VOLUME_UNIT,,
class,,,taxon,,,,
family,,,taxon,,,,
genus,,,taxon,,,,
phylum,,,taxon,,,,
prelim_ncbi_taxon_id,,SKIP,taxon,,,,
species,,,taxon,,,,
strain,,,taxon,,,,
superkingdom,,,taxon,,,,
torder,,order,taxon,,,,
