rdfs:label	MEOWL short label	BCO-DMO unit	other unit	From Ken's list of all fields	From Hurowitz CAMERA data.xls	category	BCO-DMO short name	MIxS package	maps to MIxS term	other synonyms
unit missing				sodium	Sodium - (null)	chemical		multi	sodium	
sodium concentration	sodium_conc		uM	sodium_um	Sodium - (uM)	chemical		multi	sodium	
strontium concentration	strontium_conc		uM	strontiumsr_um	Strontium(Sr) - (uM)	chemical				
sulfate concentration			mM	sulfateso4_mm	Sulfate(SO4) - (mM)	chemical		multi	sulfate	
sulfate concentration			uM	sulfateso4_um	Sulfate(SO4) - (uM)	chemical		multi	sulfate	
sulfide concentration	sulfide_conc		uM	sulfide_um	-	chemical				
sulfur concentration	sulfur_conc		uM	sulfurs2_um	-	chemical				
unit missing				total_fe	-	chemical				
unit missing				total_phosphorus	-	chemical				
unit missing				trace_elements	-	chemical				
tungsten concentration	tungsten_conc		uM	tungstenw_um	Tungsten(W) - (uM)	chemical				
unit missing				urea	-	chemical				
urea concentration	urea_conc		uM	urea_umol_l	Urea - (ðmol/l)	chemical		sediment | microbial matt/biofilm	turbidity	
vanadium concentration	vanadium_conc		uM	vanadiumv_um	Vanadium(V) - (uM)	chemical				
zinc concentration	zinc_conc		uM	zinczn_um	Zinc(Zn) - (uM)	chemical			none	
fluorine concentration	fluorine_conc		um		Fluorine(F) - (uM)	chemical				
oxygen concentration	oxygen_conc		umol/kg		oxygen - (umol/Kg)	chemical		multi	dissolved oxygen	
habitat	habitat			envo_term_for_habitat_primary_term	-	environment				
habitat	habitat			envo_term_for_habitat_secondary_term	-	environment				
growth medium	growth_medium			growth_medium	-	environment				
habitat	habitat			habitat	-	environment				
habitat description	habitat_description			habitat_description	-	environment				
habitat	habitat			habitat_name	HABITAT_NAME	environment				
mean annual precipitation	mean_ann_precip		cm	mean_annual_precipitation_cm	mean annual precipitation - (cm)	environment		soil	mean annual and seasonal precipitation	
modifications to growth medium	modifications_growth_medium			modifications_to_growth_medium	-	environment				
habitat	habitat			other	Other habitat - (null)	environment				
need to check data				other_environmental_metadata_available	-	environment				
need to check data				other_experimental_metadata_available	-	environment				
habitat				other_habitat	Other habitat	environment				
rainfall	rainfall			rain_fall	Rain Fall	environment		plant-associated	rainfall regimen	
soil depth	soil_depth		m	soil_depth_m	Soil Depth - (m)	environment		soil	depth	
soil type	soil_type			soil_type	Soil Type	environment		soil	soil type	
treatment	treatment			treatment	Treatment	environment				
altitude	altitude		unknown	altitude	ALTITUDE	location				
altitude	altitude		m	altitude_m	Altitude - (m)	location		core/multi	geographic location (altitude/elevation)/altitude	
country	country			country	-	location				
country	country			country_name	COUNTRY_NAME	location				
current land use	current_land_use			current_land_use	Current Land Use	location		soil	current land use	
depth	depth			depth	-	location				
elevation	elevation			elevation	-	location				
latitude	latitude			latitude	LATITUDE	location				
leg position	leg_position			leg	leg	location				
